edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,id,satisfaccion_entorno,implicacion,nivel_laboral,puesto,sastisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual,salario_ano,impacto_abandono,scoring
25,No,Travel_Rarely,Research & Development,7,College,Medical,143,Very High,Medium,1,Research Scientist,Medium,Married,2889,1,No,11,Excellent,High,2,2,2,2,2,1,34668,6829.5960000000005,0.06923076923076923
22,No,Travel_Rarely,Research & Development,15,Bachelor,Medical,144,Medium,High,1,Laboratory Technician,High,Single,2871,1,No,15,Excellent,High,0,1,5,0,0,0,34452,6787.044,0.2
51,No,Travel_Frequently,Research & Development,1,College,Medical,145,Low,Medium,3,Healthcare Representative,High,Single,7484,3,No,20,Outstanding,High,0,23,1,13,12,8,89808,18859.68,0.015384615384615385
34,Yes,Travel_Frequently,Research & Development,7,Below College,Life Sciences,147,Low,Low,2,Laboratory Technician,Low,Single,6074,1,Yes,24,Outstanding,Very High,0,9,3,9,0,6,72888,14869.151999999998,0.7307692307692307
54,No,Non-Travel,Human Resources,26,Master,Human Resources,148,Very High,Very High,4,Manager,Very High,Single,17328,2,Yes,12,Excellent,High,0,23,3,5,4,4,207936,43666.56,0.1076923076923077
24,No,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,150,Medium,High,1,Laboratory Technician,High,Married,2774,0,No,12,Excellent,High,1,6,2,5,1,2,33288,6557.736,0.06923076923076923
34,No,Travel_Rarely,Research & Development,6,College,Life Sciences,151,High,Medium,2,Research Scientist,Medium,Divorced,4505,6,No,15,Excellent,High,1,12,3,1,0,0,54060,11028.24,0.007692307692307693
37,No,Travel_Rarely,Sales,3,Bachelor,Life Sciences,152,High,High,3,Sales Executive,High,Single,7428,2,No,12,Excellent,Low,0,12,3,5,1,3,89136,18718.559999999998,0.038461538461538464
34,No,Travel_Rarely,Research & Development,5,College,Medical,153,High,Medium,3,Manager,Medium,Single,11631,2,No,12,Excellent,Very High,0,14,6,11,5,8,139572,29310.12,0.015384615384615385
36,No,Travel_Frequently,Sales,11,Bachelor,Technical Degree,154,Medium,High,3,Sales Executive,High,Married,9738,0,No,14,Excellent,High,1,10,6,9,2,8,116856,24539.76,0.046153846153846156
36,No,Travel_Rarely,Research & Development,3,Bachelor,Life Sciences,155,Low,High,1,Laboratory Technician,High,Divorced,2835,5,No,22,Outstanding,Low,1,7,2,1,0,0,34020,6701.9400000000005,0.05384615384615385
43,No,Travel_Frequently,Sales,26,Bachelor,Life Sciences,158,High,High,4,Manager,High,Married,16959,1,Yes,12,Excellent,Very High,2,25,3,25,4,12,203508,42736.68,0.046153846153846156
30,No,Travel_Frequently,Research & Development,23,Below College,Life Sciences,159,Low,Low,1,Research Scientist,Low,Divorced,2613,1,No,25,Outstanding,High,3,10,2,10,0,9,31356,6177.1320000000005,0.1076923076923077
33,No,Non-Travel,Sales,22,Bachelor,Marketing,160,High,High,2,Sales Executive,High,Married,6146,0,No,13,Excellent,Low,1,8,2,7,0,7,73752,15045.408,0.023076923076923078
56,Yes,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,161,Medium,High,1,Research Scientist,High,Married,4963,9,Yes,18,Excellent,Low,3,7,2,5,4,3,59556,12149.423999999999,0.2846153846153846
51,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,162,Low,High,5,Research Director,High,Single,19537,7,No,13,Excellent,High,0,23,5,20,15,15,234444,49233.24,0.038461538461538464
31,Yes,Travel_Rarely,Sales,6,Below College,Life Sciences,163,Medium,Low,2,Sales Executive,Low,Married,6172,4,Yes,18,Excellent,Medium,0,12,3,7,7,7,74064,15109.055999999999,0.7076923076923077
26,No,Travel_Rarely,Research & Development,6,College,Other,164,High,Medium,1,Research Scientist,Medium,Married,2368,1,No,19,Excellent,High,0,5,3,5,4,3,28416,4574.976000000001,0.23076923076923078
58,Yes,Travel_Rarely,Research & Development,23,Bachelor,Medical,165,Very High,High,3,Healthcare Representative,High,Married,10312,1,No,12,Excellent,Very High,1,40,3,40,15,6,123744,25986.239999999998,0.35384615384615387
19,Yes,Travel_Rarely,Sales,22,Bachelor,Marketing,167,Very High,High,1,Sales Representative,High,Single,1675,1,Yes,19,Excellent,Very High,0,0,2,0,0,0,20100,3236.1,0.823076923076923
22,No,Travel_Rarely,Research & Development,2,Bachelor,Technical Degree,169,High,High,1,Laboratory Technician,High,Married,2523,0,No,14,Excellent,High,1,3,2,2,2,1,30276,5964.372,0.09230769230769231
49,No,Travel_Rarely,Research & Development,20,Bachelor,Medical,170,High,High,2,Manufacturing Director,High,Married,6567,1,No,14,Excellent,High,0,16,2,15,5,11,78804,16548.84,0
43,No,Travel_Frequently,Research & Development,28,Master,Medical,171,Medium,Very High,1,Research Scientist,Very High,Single,4739,4,No,12,Excellent,Very High,0,18,2,3,1,2,56868,11601.072,0.19230769230769232
50,No,Travel_Frequently,Sales,12,Bachelor,Marketing,174,High,High,3,Sales Executive,High,Single,9208,4,No,11,Excellent,Very High,0,16,3,2,2,1,110496,23204.16,0.05384615384615385
31,Yes,Travel_Rarely,Sales,20,Below College,Life Sciences,175,Medium,Low,2,Sales Executive,Low,Married,4559,3,Yes,11,Excellent,High,1,4,2,2,2,2,54708,11160.431999999999,0.7538461538461538
